lat,lon,mon,day,year,hour,min,sec,csec,temp,yeab,secC00$@csec,oin,demp,secc50$@csec,lonC-444.44$@mon,lon-444.44$@mon,Csec,secG16$@csec,sec29$@csec,sec30$@csec,sec33$@csec,sec37$@csec,sec38$@csec,secC41$@csec,secc00$@csec,|at,}in
+444.44,-444.44,0.0,00,2000.0,0.0,00,0.0,0.0,146.15,2000.0,,,,,,,,,,,,,,,,,
+444.44,-444.44,0.0,00,2000.0,0.0,00,0.0,0.0,14f.15,,,,,,,,,0.0,,,,,,,,,
+444.44,-444.44,0.0,00,2000.0,0.0,00,0.0,0.0,146.15,,,,,,,,,,,,,,,,,,
+444.44,-444.44,0.0,00,2000.0,0.0,00,0.0,0.0,298.15,2000.0,,,,0.0,,,,,,,,,,,,,
+444.44,-444.44,0.0,00,2000.0,0.0,00,0.0,0.0,298.15,2000.0,,,,,,,,,0.0,,,,,,,,
+444.44,-444.44,0.0,00,2000.0,0.0,00,50.0,0.0,298.15,,,,,,,,,,,0.0,,,,,0.0,,
+444.44,-444.44,0.0,00,2000.0,0.0,00,0.0,0.0,298.15,,,,,,,,,,,,0.0,,,,,,
+444.44,-444.44,0.0,00,2000.0,0.0,00,0.0,0.0,298.15,2000.0,,,,,,,,,,,,,,,,,
+444.44,-444.44,0.0,00,2000.0,0.0,00,50.0,0.0,298.15,,,,,,,,0.0,,,,,0.0,,,0.0,,
+444.44,-444.44,0.0,00,2000.0,0.0,00,0.0,0.0,298.15,2000.0,,,,,,,,,,,,,0.0,,,,
+444.44,-444.44,0.0,00,2000.0,0.0,00,0.0,0.0,298.15,,,,,,7.0,,,,,,,,,0.0,,,
+444.44,-444.44,0.0,00,2000.0,0.0,00,0.0,0.0,298.15,,0.0,,,,,7.0,,,,,,,,,,,
+444.44,-444.44,0.0,00,2000.0,0.0,00,0.0,0.0,298.15,,,,,,,,,,,,,,,,,,
+444.44,-444.44,7.0,00,2000.0,0.0,00,0.0,0.0,298.15,,0.0,,,,0.0,,,,,,,,,,,,
+444.44,-444.44,0.0,00,2000.0,0.0,13.0,0.0,0.0,298.15,,,,,,7.0,,,,,,,,,,,444.44,0.0
+444.44,",444.44",0.0,00,2000.0,0.0,00,0.0,0.0,298.15,,,0.0,,,,,,,,,,,,,,,
+444.44,-444.44,0.0,00,2000.0,0.0,00,0.0,0.0,146.15,,,,,,,,,,,,,,,,,,
+444.44,[444.t4,0.0,00,2000.0,0.0,00,0.0,0.0,298.15,,,,,,,,,,,,,,,,,,
+444.44,-444.44,7.0,19,2023.0,22.0,14.0,4.0,0.0,29x.15,,,,,,,,,,,,,,,,,,
+444.44,-444.44,7.0,19,2023.0,22.0,14.0,6.0,0.0,29x.15,,,,,,,,,,,,,,,,,,
+444.44,-444.44,7.0,19,2023.0,22.0,14.0,8.0,0.0,29x.15,,,,,,,,,,,,,,,,,,
+444.44,-444.44,7.0,19,2023.0,22.0,14.0,10.0,0.0,29x.15,,,,,,,,,,,,,,,,,,
+444.44,-444.44,7.0,19,2023.0,22.0,14.0,12.0,0.0,29x.15,2000.0,,,,,,,,,,,,,,,,,
+444.44D@lon#-444.d4,-444.44,7.0,19,2023.0,22.0,14.0,13.0,0.0,298.15,,,,,,,,,,,,,,,,,,
+444.44,-444.44,0.0,19,2023.0,22.0,14.0,13.0,0.0,298.15,,,,,,7.0,,,,,,,,,,,,
+444.44,-444.44,7.0,1q,2023.0,22.0,14.0,13.0,0.0,298.15,2000.0,,,,,,,,,,,,,,,,,
+444.44,-444.44,7.0,19,2023.0,22.0,1t,13.0,0.0,298.15,2000.0,,,,,,,,,,,,,,,,,
+444.44,-444.44,7.0,19,2023.0,22.0,14,13.0,0.0,298.15,,,,,,,,,,,,,,,,,,
+444.44,-444.44,7.0,19,2023.0,22.0,14,41.0,0.0,298.15,,,,,,,,,,,,,,,,,,
444.44,-444.44,0.0,0.0,,0.0,0.0,0.0,0.0,298.15,2000.0,,,,,,,,,,,,,,,,,
444.44,-444.44,0.0,0.0,,0.0,0.0,0.0,0.0,298.15,2000.0,,,,,,,,,,,,,,,,,
444.44,-444.44,0.0,0.0,2000.0,0.0,0.0,0.0,0.0,298.15,,,,,,,,,,,,,,,,,,
444.44,-444.44,0.0,0.0,2000.0,0.0,0.0,0.0,0.0,298.15,,,,,,,,,,,,,,,,,,
444.44,-444.44,0.0,0.0,,0.0,0.0,0.0,0.0,,2000.0,,,298.15,,,,,,,,,,,,,,
+,,,,,,,,,,,,,,,,,,,,,,,,,,,
